DS_Score,Age,Sex,ID,Math_Score,Physics_Score
82.0,18,1,1,88.0,84.0
79.0,19,1,2,85.0,81.0
39.0,19,1,3,45.0,41.0
76.0,18,1,4,82.0,78.0
76.0,18,2,5,82.0,78.0
89.0,20,1,6,95.0,91.0
89.0,18,1,7,95.0,91.0
59.0,19,1,8,65.0,61.0
82.0,18,1,9,88.0,84.0
82.0,19,2,10,88.0,84.0
47.0,20,1,11,53.0,49.0
47.0,20,1,12,53.0,49.0
60.0,19,1,13,66.0,62.0
82.0,18,1,14,88.0,84.0
82.0,21,2,15,88.0,84.0
76.0,20,1,16,82.0,78.0
25.0,18,1,17,31.0,0.0
89.0,18,1,18,95.0,91.0
85.0,18,1,19,91.0,87.0
60.0,18,2,20,66.0,62.0
76.0,18,1,21,82.0,78.0
60.0,18,1,22,66.0,62.0
69.0,18,1,23,75.0,71.0
59.0,19,1,24,65.0,61.0
85.0,20,2,25,91.0,87.0
85.0,18,1,26,91.0,87.0
47.0,20,1,27,53.0,49.0
85.0,20,1,28,91.0,87.0
82.0,21,1,29,88.0,84.0
79.0,19,2,30,85.0,81.0
69.0,20,1,31,75.0,71.0
60.0,21,1,32,66.0,62.0
39.0,19,1,33,45.0,41.0
0.0,18,1,34,66.0,94.0
47.0,20,2,35,53.0,49.0
59.0,19,1,36,65.0,61.0
47.0,18,1,37,53.0,49.0
69.0,20,1,38,75.0,71.0
39.0,18,1,39,45.0,41.0
60.0,19,2,40,66.0,62.0
69.0,20,1,41,75.0,71.0
89.0,20,1,42,95.0,91.0
59.0,21,1,43,65.0,61.0
79.0,18,1,44,85.0,81.0
76.0,20,2,45,82.0,78.0
59.0,21,1,46,65.0,61.0
79.0,21,1,47,85.0,81.0
76.0,18,1,48,82.0,78.0
59.0,18,1,49,65.0,61.0
60.0,19,2,50,66.0,62.0
76.0,18,1,51,82.0,78.0
82.0,19,1,52,88.0,84.0
39.0,19,1,53,0.0,41.0
89.0,20,1,54,95.0,91.0
82.0,21,2,55,88.0,84.0
85.0,18,1,56,91.0,87.0
47.0,20,1,57,53.0,49.0
69.0,20,1,58,75.0,71.0
69.0,20,1,59,75.0,71.0
89.0,18,2,60,95.0,91.0
82.0,19,1,61,88.0,84.0
47.0,18,1,62,53.0,49.0
76.0,20,1,63,82.0,78.0
76.0,18,1,64,82.0,78.0
79.0,21,2,65,85.0,81.0
39.0,21,1,66,45.0,0.0
69.0,20,1,67,75.0,71.0
60.0,21,1,68,66.0,62.0
39.0,19,1,69,45.0,41.0
69.0,20,2,70,75.0,71.0
47.0,20,1,71,53.0,49.0
59.0,21,1,72,65.0,61.0
47.0,20,1,73,53.0,49.0
79.0,19,1,74,85.0,81.0
76.0,18,2,75,82.0,78.0
89.0,20,1,76,95.0,91.0
60.0,19,1,77,66.0,62.0
47.0,20,1,78,53.0,49.0
59.0,18,1,79,65.0,61.0
79.0,19,2,80,85.0,81.0
82.0,19,1,81,88.0,84.0
89.0,18,1,82,95.0,91.0
47.0,20,1,83,53.0,49.0
39.0,19,1,84,45.0,41.0
39.0,21,2,85,45.0,41.0
79.0,18,1,86,85.0,81.0
0.0,19,1,87,45.0,90.0
79.0,21,1,88,85.0,81.0
39.0,18,1,89,45.0,41.0
39.0,21,2,90,45.0,41.0
79.0,19,1,91,85.0,0.0
82.0,19,1,92,88.0,84.0
79.0,19,1,93,85.0,81.0
85.0,18,1,94,91.0,87.0
59.0,19,2,95,65.0,61.0
69.0,18,1,96,75.0,71.0
82.0,19,1,97,88.0,84.0
89.0,18,1,98,95.0,91.0
59.0,21,1,99,65.0,61.0
59.0,19,2,100,65.0,61.0
39.0,18,1,101,45.0,41.0
47.0,20,1,102,53.0,49.0
89.0,18,1,103,95.0,91.0
60.0,21,1,104,66.0,62.0
76.0,18,2,105,82.0,78.0
59.0,19,1,106,65.0,61.0
39.0,21,1,107,45.0,0.0
79.0,21,1,108,85.0,81.0
39.0,19,1,109,45.0,0.0
79.0,21,2,110,85.0,81.0
59.0,21,1,111,65.0,61.0
79.0,18,1,112,85.0,81.0
82.0,19,1,113,88.0,84.0
39.0,19,1,114,45.0,41.0
89.0,20,2,115,95.0,91.0
82.0,21,1,116,88.0,84.0
69.0,18,1,117,75.0,71.0
47.0,20,1,118,53.0,49.0
76.0,20,1,119,82.0,78.0
79.0,21,2,120,85.0,81.0
85.0,18,1,121,91.0,87.0
82.0,18,1,122,88.0,0.0
79.0,21,1,123,85.0,81.0
39.0,19,1,124,45.0,41.0
47.0,18,2,125,53.0,49.0
89.0,20,1,126,95.0,91.0
39.0,21,1,127,45.0,41.0
69.0,20,1,128,75.0,71.0
60.0,21,1,129,66.0,62.0
69.0,18,2,130,75.0,71.0
60.0,18,1,131,66.0,62.0
69.0,20,1,132,75.0,71.0
47.0,18,1,133,53.0,49.0
79.0,18,1,134,85.0,81.0
79.0,18,2,135,85.0,81.0
59.0,21,1,136,65.0,61.0
59.0,21,1,137,65.0,61.0
85.0,20,1,138,91.0,87.0
79.0,21,1,139,85.0,81.0
0.0,21,2,140,45.0,88.0
76.0,18,1,141,82.0,78.0
89.0,20,1,142,95.0,91.0
79.0,18,1,143,85.0,81.0
60.0,18,1,144,66.0,62.0
82.0,21,2,145,88.0,84.0
76.0,20,1,146,82.0,78.0
47.0,18,1,147,53.0,49.0
82.0,19,1,148,88.0,84.0
39.0,18,1,149,45.0,41.0
59.0,21,2,150,65.0,61.0
89.0,18,1,151,95.0,91.0
25.0,18,1,152,31.0,27.0
60.0,18,1,153,66.0,62.0
39.0,19,1,154,45.0,41.0
47.0,18,2,155,53.0,49.0
39.0,19,1,156,45.0,41.0
47.0,18,1,157,53.0,49.0
85.0,18,1,158,91.0,87.0
79.0,19,1,159,85.0,81.0
47.0,18,2,160,53.0,49.0
82.0,18,1,161,88.0,84.0
0.0,18,1,162,88.0,81.0
76.0,18,1,163,82.0,78.0
79.0,19,1,164,85.0,81.0
39.0,18,2,165,45.0,41.0
76.0,20,1,166,82.0,78.0
85.0,18,1,167,91.0,87.0
59.0,19,1,168,65.0,61.0
59.0,19,1,169,65.0,61.0
69.0,18,2,170,75.0,71.0
82.0,18,1,171,88.0,84.0
59.0,18,1,172,65.0,61.0
47.0,20,1,173,53.0,49.0
82.0,19,1,174,88.0,84.0
39.0,19,2,175,45.0,41.0
89.0,18,1,176,95.0,91.0
69.0,18,1,177,75.0,71.0
47.0,20,1,178,53.0,49.0
47.0,18,1,179,53.0,49.0
89.0,18,2,180,95.0,91.0
89.0,20,1,181,95.0,91.0
79.0,19,1,182,85.0,81.0
82.0,19,1,183,88.0,84.0
82.0,19,1,184,88.0,84.0
89.0,20,2,185,95.0,91.0
69.0,20,1,186,75.0,71.0
69.0,20,1,187,75.0,71.0
89.0,20,1,188,95.0,91.0
85.0,20,1,189,91.0,87.0
76.0,18,2,190,82.0,78.0
79.0,19,1,191,85.0,81.0
85.0,18,1,192,91.0,87.0
79.0,19,1,193,85.0,81.0
79.0,21,1,194,85.0,81.0
85.0,20,2,195,91.0,87.0
85.0,18,1,196,91.0,87.0
79.0,21,1,197,85.0,81.0
89.0,20,1,198,95.0,91.0
82.0,21,1,199,88.0,84.0
47.0,18,2,200,53.0,49.0
60.0,18,1,201,66.0,62.0
85.0,20,1,202,91.0,87.0
39.0,19,1,203,45.0,41.0
79.0,19,1,204,85.0,81.0
76.0,18,2,205,82.0,78.0
60.0,19,1,206,66.0,62.0
69.0,20,1,207,75.0,71.0
69.0,18,1,208,75.0,71.0
89.0,18,1,209,95.0,91.0
60.0,19,2,210,66.0,62.0
60.0,21,1,211,66.0,62.0
82.0,19,1,212,88.0,84.0
82.0,19,1,213,88.0,84.0
69.0,18,1,214,75.0,71.0
60.0,19,2,215,66.0,62.0
0.0,19,1,216,88.0,69.0
76.0,20,1,217,82.0,78.0
76.0,18,1,218,82.0,78.0
39.0,19,1,219,45.0,41.0
89.0,18,2,220,95.0,91.0
60.0,19,1,221,66.0,62.0
79.0,21,1,222,85.0,81.0
76.0,18,1,223,82.0,78.0
85.0,18,1,224,91.0,87.0
79.0,21,2,225,85.0,81.0
89.0,20,1,226,95.0,91.0
47.0,20,1,227,53.0,49.0
85.0,20,1,228,91.0,87.0
39.0,19,1,229,45.0,41.0
59.0,18,2,230,65.0,61.0
69.0,20,1,231,75.0,71.0
85.0,18,1,232,91.0,87.0
47.0,20,1,233,53.0,49.0
47.0,18,1,234,53.0,49.0
47.0,18,2,235,53.0,49.0
89.0,18,1,236,95.0,91.0
69.0,20,1,237,75.0,71.0
89.0,20,1,238,95.0,91.0
76.0,18,1,239,82.0,78.0
47.0,18,2,240,53.0,49.0
89.0,18,1,241,95.0,91.0
69.0,20,1,242,75.0,71.0
60.0,18,1,243,66.0,62.0
85.0,20,1,244,91.0,87.0
85.0,20,2,245,91.0,87.0
79.0,18,1,246,85.0,81.0
69.0,20,1,247,75.0,71.0
60.0,18,1,248,66.0,62.0
69.0,20,1,249,75.0,71.0
82.0,19,2,250,88.0,84.0
82.0,18,1,251,88.0,84.0
76.0,20,1,252,82.0,78.0
59.0,18,1,253,65.0,61.0
39.0,19,1,254,45.0,41.0
79.0,18,2,255,85.0,81.0
59.0,19,1,256,65.0,61.0
69.0,20,1,257,75.0,71.0
69.0,18,1,258,75.0,71.0
47.0,20,1,259,53.0,49.0
39.0,18,2,260,45.0,41.0
85.0,18,1,261,91.0,87.0
89.0,18,1,262,95.0,91.0
89.0,18,1,263,95.0,91.0
76.0,20,1,264,82.0,78.0
47.0,18,2,265,53.0,49.0
60.0,21,1,266,66.0,62.0
39.0,19,1,267,45.0,41.0
76.0,20,1,268,82.0,78.0
59.0,19,1,269,65.0,61.0
59.0,19,2,270,65.0,61.0
82.0,21,1,271,88.0,84.0
76.0,20,1,272,82.0,78.0
89.0,18,1,273,95.0,91.0
47.0,20,1,274,53.0,49.0
85.0,18,2,275,91.0,87.0
59.0,19,1,276,65.0,61.0
59.0,19,1,277,65.0,61.0
85.0,18,1,278,91.0,87.0
60.0,18,1,279,66.0,62.0
59.0,19,2,280,65.0,61.0
39.0,19,1,281,45.0,41.0
85.0,20,1,282,91.0,87.0
39.0,21,1,283,45.0,41.0
47.0,20,1,284,53.0,49.0
69.0,18,2,285,75.0,71.0
47.0,18,1,286,53.0,49.0
89.0,18,1,287,95.0,91.0
89.0,18,1,288,95.0,91.0
79.0,19,1,289,85.0,81.0
85.0,20,2,290,91.0,87.0
60.0,19,1,291,66.0,62.0
89.0,20,1,292,95.0,91.0
82.0,19,1,293,88.0,84.0
79.0,19,1,294,85.0,81.0
60.0,18,2,295,66.0,62.0
89.0,20,1,296,95.0,91.0
85.0,18,1,297,91.0,87.0
89.0,20,1,298,95.0,91.0
79.0,18,1,299,85.0,81.0
85.0,18,2,300,91.0,87.0
58.0,19,1,301,64.0,60.0
47.0,18,1,302,53.0,49.0
79.0,19,1,303,85.0,81.0
60.0,21,1,304,66.0,62.0
47.0,20,2,305,53.0,49.0
76.0,20,1,306,82.0,78.0
69.0,18,1,307,75.0,71.0
69.0,18,1,308,75.0,71.0
58.0,19,1,309,64.0,60.0
82.0,19,2,310,88.0,84.0
85.0,20,1,311,91.0,87.0
69.0,18,1,312,75.0,71.0
60.0,21,1,313,66.0,62.0
76.0,18,1,314,82.0,78.0
39.0,21,2,315,45.0,41.0
60.0,19,1,316,66.0,62.0
60.0,19,1,317,66.0,62.0
85.0,20,1,318,91.0,87.0
60.0,19,1,319,66.0,62.0
69.0,18,2,320,75.0,71.0
85.0,20,1,321,91.0,87.0
39.0,18,1,322,45.0,41.0
69.0,18,1,323,75.0,71.0
69.0,20,1,324,75.0,71.0
59.0,21,2,325,65.0,61.0
60.0,19,1,326,66.0,62.0
79.0,19,1,327,85.0,81.0
59.0,21,1,328,65.0,61.0
89.0,20,1,329,95.0,91.0
89.0,18,2,330,95.0,91.0
89.0,18,1,331,95.0,91.0
47.0,20,1,332,53.0,49.0
60.0,19,1,333,66.0,62.0
60.0,18,1,334,66.0,62.0
47.0,20,2,335,53.0,49.0
89.0,20,1,336,95.0,91.0
85.0,20,1,337,91.0,87.0
59.0,19,1,338,65.0,61.0
82.0,18,1,339,88.0,84.0
82.0,21,2,340,88.0,84.0
59.0,19,1,341,65.0,61.0
60.0,19,1,342,66.0,62.0
60.0,21,1,343,66.0,62.0
39.0,18,1,344,45.0,41.0
82.0,21,2,345,88.0,84.0
89.0,20,1,346,95.0,91.0
60.0,19,1,347,66.0,62.0
85.0,18,1,348,91.0,87.0
79.0,19,1,349,85.0,81.0
59.0,19,2,350,65.0,61.0
69.0,18,1,351,75.0,71.0
25.0,18,1,352,31.0,27.0
59.0,18,1,353,65.0,61.0
89.0,18,1,354,95.0,91.0
76.0,20,2,355,82.0,78.0
76.0,18,1,356,82.0,78.0
59.0,18,1,357,65.0,61.0
82.0,21,1,358,88.0,84.0
69.0,18,1,359,75.0,71.0
39.0,21,2,360,45.0,41.0
39.0,18,1,361,45.0,41.0
69.0,20,1,362,75.0,71.0
82.0,19,1,363,88.0,84.0
79.0,19,1,364,85.0,81.0
60.0,19,2,365,66.0,62.0
60.0,18,1,366,66.0,62.0
69.0,20,1,367,75.0,71.0
69.0,20,1,368,75.0,71.0
39.0,19,1,369,45.0,41.0
85.0,20,2,370,91.0,87.0
85.0,18,1,371,91.0,87.0
76.0,18,1,372,82.0,78.0
69.0,20,1,373,75.0,71.0
85.0,20,1,374,91.0,87.0
82.0,19,2,375,88.0,84.0
82.0,21,1,376,88.0,84.0
60.0,19,1,377,66.0,62.0
89.0,18,1,378,95.0,91.0
39.0,18,1,379,45.0,41.0
47.0,20,2,380,53.0,49.0
85.0,20,1,381,91.0,87.0
69.0,18,1,382,75.0,71.0
60.0,21,1,383,66.0,62.0
60.0,19,1,384,66.0,62.0
85.0,20,2,385,91.0,87.0
79.0,18,1,386,85.0,81.0
76.0,20,1,387,82.0,78.0
60.0,19,1,388,66.0,62.0
69.0,18,1,389,75.0,71.0
85.0,18,2,390,91.0,87.0
39.0,19,1,391,45.0,41.0
76.0,20,1,392,0.0,78.0
85.0,20,1,393,91.0,87.0
69.0,18,1,394,75.0,71.0
76.0,20,2,395,82.0,78.0
89.0,20,1,396,95.0,91.0
82.0,19,1,397,88.0,84.0
59.0,19,1,398,65.0,61.0
79.0,21,1,399,85.0,81.0
85.0,18,2,400,91.0,87.0
85.0,20,1,401,91.0,87.0
47.0,20,1,402,53.0,49.0
89.0,20,1,403,95.0,91.0
89.0,18,1,404,95.0,91.0
47.0,18,2,405,53.0,49.0
39.0,19,1,406,45.0,41.0
69.0,18,1,407,75.0,71.0
59.0,18,1,408,65.0,61.0
39.0,19,1,409,45.0,41.0
76.0,18,2,410,82.0,78.0
76.0,18,1,411,82.0,78.0
60.0,19,1,412,66.0,62.0
59.0,21,1,413,65.0,61.0
60.0,19,1,414,66.0,62.0
89.0,18,2,415,95.0,91.0
39.0,21,1,416,45.0,41.0
59.0,19,1,417,65.0,61.0
0.0,19,1,418,88.0,57.0
59.0,19,1,419,65.0,61.0
79.0,18,2,420,85.0,81.0
69.0,18,1,421,75.0,71.0
76.0,20,1,422,82.0,78.0
76.0,20,1,423,82.0,78.0
60.0,21,1,424,66.0,62.0
79.0,19,2,425,85.0,81.0
69.0,18,1,426,75.0,71.0
85.0,20,1,427,91.0,87.0
59.0,19,1,428,65.0,61.0
76.0,20,1,429,82.0,78.0
39.0,18,2,430,45.0,41.0
89.0,20,1,431,95.0,91.0
82.0,18,1,432,88.0,84.0
47.0,18,1,433,53.0,49.0
76.0,18,1,434,82.0,78.0
60.0,19,2,435,66.0,62.0
85.0,20,1,436,91.0,87.0
39.0,18,1,437,45.0,41.0
47.0,18,1,438,53.0,49.0
79.0,19,1,439,85.0,81.0
85.0,18,2,440,91.0,87.0
47.0,18,1,441,53.0,49.0
82.0,19,1,442,88.0,84.0
79.0,18,1,443,85.0,81.0
39.0,19,1,444,45.0,41.0
47.0,18,2,445,53.0,49.0
69.0,20,1,446,75.0,71.0
79.0,19,1,447,85.0,81.0
60.0,19,1,448,66.0,62.0
76.0,20,1,449,82.0,78.0
79.0,19,2,450,85.0,81.0
76.0,20,1,451,82.0,78.0
76.0,18,1,452,82.0,78.0
89.0,18,1,453,95.0,91.0
79.0,19,1,454,85.0,81.0
69.0,20,2,455,75.0,71.0
85.0,20,1,456,91.0,87.0
89.0,18,1,457,95.0,91.0
89.0,20,1,458,95.0,91.0
47.0,18,1,459,53.0,49.0
79.0,18,2,460,85.0,81.0
89.0,20,1,461,95.0,91.0
59.0,19,1,462,65.0,61.0
85.0,20,1,463,91.0,87.0
69.0,20,1,464,75.0,71.0
0.0,21,2,465,45.0,45.0
47.0,20,1,466,53.0,49.0
82.0,21,1,467,88.0,84.0
60.0,18,1,468,66.0,62.0
47.0,18,1,469,53.0,49.0
76.0,18,2,470,82.0,78.0
76.0,18,1,471,82.0,78.0
47.0,20,1,472,53.0,49.0
79.0,21,1,473,85.0,81.0
39.0,21,1,474,45.0,41.0
85.0,20,2,475,91.0,87.0
76.0,20,1,476,82.0,78.0
39.0,19,1,477,45.0,41.0
69.0,18,1,478,75.0,71.0
89.0,18,1,479,95.0,91.0
82.0,21,2,480,88.0,84.0
82.0,19,1,481,88.0,84.0
79.0,18,1,482,85.0,81.0
76.0,20,1,483,82.0,78.0
60.0,19,1,484,66.0,62.0
82.0,18,2,485,88.0,84.0
85.0,20,1,486,91.0,87.0
89.0,20,1,487,95.0,91.0
69.0,18,1,488,75.0,71.0
69.0,18,1,489,75.0,71.0
47.0,20,2,490,53.0,49.0
82.0,18,1,491,88.0,84.0
76.0,20,1,492,82.0,78.0
82.0,19,1,493,88.0,84.0
85.0,20,1,494,91.0,87.0
69.0,18,2,495,75.0,71.0
69.0,18,1,496,75.0,71.0
85.0,18,1,497,91.0,87.0
79.0,19,1,498,85.0,81.0
82.0,18,1,499,88.0,84.0
47.0,18,2,500,53.0,49.0
47.0,20,1,501,53.0,49.0
59.0,18,1,502,65.0,61.0
85.0,18,1,503,91.0,87.0
85.0,18,1,504,91.0,87.0
39.0,19,2,505,45.0,41.0
60.0,21,1,506,66.0,62.0
60.0,21,1,507,66.0,62.0
47.0,18,1,508,53.0,49.0
59.0,19,1,509,65.0,61.0
47.0,18,2,510,53.0,49.0
85.0,18,1,511,91.0,87.0
76.0,20,1,512,82.0,78.0
39.0,19,1,513,45.0,41.0
59.0,19,1,514,65.0,61.0
59.0,18,2,515,65.0,61.0
47.0,18,1,516,53.0,49.0
76.0,18,1,517,82.0,78.0
82.0,19,1,518,88.0,84.0
89.0,20,1,519,95.0,91.0
58.0,19,2,520,64.0,60.0
76.0,20,1,521,82.0,78.0
39.0,19,1,522,45.0,41.0
47.0,18,1,523,53.0,49.0
39.0,21,1,524,45.0,41.0
79.0,19,2,525,85.0,81.0
85.0,18,1,526,91.0,87.0
69.0,20,1,527,75.0,71.0
82.0,18,1,528,88.0,84.0
39.0,19,1,529,45.0,41.0
82.0,19,2,530,88.0,84.0
39.0,18,1,531,45.0,41.0
59.0,21,1,532,65.0,61.0
39.0,21,1,533,45.0,41.0
82.0,21,1,534,88.0,84.0
89.0,20,2,535,95.0,91.0
89.0,20,1,536,95.0,91.0
76.0,18,1,537,82.0,78.0
59.0,19,1,538,65.0,61.0
85.0,18,1,539,91.0,87.0
59.0,18,2,540,65.0,61.0
60.0,21,1,541,66.0,62.0
89.0,18,1,542,95.0,91.0
76.0,18,1,543,82.0,78.0
69.0,20,1,544,75.0,71.0
76.0,20,2,545,82.0,78.0
79.0,19,1,546,85.0,81.0
59.0,19,1,547,65.0,61.0
82.0,18,1,548,88.0,84.0
79.0,19,1,549,85.0,81.0
76.0,20,2,550,82.0,78.0
76.0,18,1,551,82.0,78.0
85.0,18,1,552,91.0,87.0
79.0,19,1,553,85.0,81.0
59.0,21,1,554,65.0,61.0
60.0,19,2,555,66.0,62.0
76.0,18,1,556,82.0,78.0
60.0,19,1,557,66.0,62.0
59.0,19,1,558,65.0,61.0
85.0,18,1,559,91.0,87.0
89.0,20,2,560,95.0,91.0
60.0,18,1,561,66.0,62.0
47.0,20,1,562,53.0,49.0
59.0,19,1,563,65.0,61.0
39.0,18,1,564,45.0,41.0
59.0,21,2,565,0.0,61.0
59.0,18,1,566,65.0,61.0
60.0,21,1,567,66.0,62.0
47.0,18,1,568,53.0,49.0
89.0,20,1,569,95.0,91.0
59.0,19,2,570,65.0,61.0
39.0,19,1,571,45.0,41.0
76.0,20,1,572,82.0,78.0
47.0,18,1,573,53.0,49.0
79.0,18,1,574,85.0,81.0
69.0,20,2,575,75.0,71.0
79.0,21,1,576,85.0,81.0
69.0,18,1,577,75.0,71.0
79.0,19,1,578,85.0,81.0
76.0,18,1,579,82.0,78.0
59.0,21,2,580,65.0,61.0
89.0,18,1,581,95.0,91.0
85.0,20,1,582,91.0,87.0
39.0,21,1,583,45.0,41.0
89.0,18,1,584,95.0,91.0
85.0,18,2,585,91.0,87.0
47.0,20,1,586,53.0,49.0
79.0,19,1,587,85.0,81.0
39.0,18,1,588,45.0,41.0
82.0,19,1,589,88.0,84.0
76.0,20,2,590,82.0,78.0
59.0,19,1,591,65.0,61.0
82.0,19,1,592,88.0,84.0
85.0,20,1,593,91.0,87.0
82.0,19,1,594,88.0,84.0
39.0,19,2,595,45.0,41.0
69.0,18,1,596,75.0,71.0
47.0,20,1,597,53.0,49.0
69.0,20,1,598,75.0,71.0
0.0,19,1,599,88.0,69.0
